model_name*,field_name*,type*,format,description,required,nullable,deprecated,read_only,write_only,default,example,enum,minimum,maximum,exclusive_minimum,exclusive_maximum,multiple_of,min_length,max_length,pattern,min_items,max_items,unique_items,ref_model,oas_path
Pet,id,integer,int64,Unique identifier,true,false,false,true,false,,1,,,,false,false,,,,,,,,"components.schemas.Pet.properties.id"
Pet,name,string,,Pet name,true,false,false,false,false,,Fluffy,,,,,,,,1,100,,,,,,"components.schemas.Pet.properties.name"
Pet,status,string,,Pet status,false,false,false,false,false,available,available,"available;pending;sold",,,,,,,,,,,,,,"components.schemas.Pet.properties.status"
Pet,category,object,,Pet category,false,false,false,false,false,,,,,,,,,,,,,,,@model:Category,"components.schemas.Pet.properties.category"
Pet,tags,array,,Pet tags,false,false,false,false,false,,,,,,,,,,,,0,,false,@model:Tag,"components.schemas.Pet.properties.tags"
Pet,photoUrls,array,,Photo URLs,true,false,false,false,false,,,,,,,,,,,,1,,false,string,"components.schemas.Pet.properties.photoUrls"
Category,id,integer,int64,Category ID,false,false,false,false,false,,1,,,,false,false,,,,,,,,"components.schemas.Category.properties.id"
Category,name,string,,Category name,false,false,false,false,false,,Dogs,,,,,,,,,,,,,,,"components.schemas.Category.properties.name"
Tag,id,integer,int64,Tag ID,false,false,false,false,false,,1,,,,false,false,,,,,,,,"components.schemas.Tag.properties.id"
Tag,name,string,,Tag name,false,false,false,false,false,,friendly,,,,,,,,,,,,,,,"components.schemas.Tag.properties.name"
Order,id,integer,int64,Order ID,false,false,false,true,false,,10,,,,false,false,,,,,,,,"components.schemas.Order.properties.id"
Order,petId,integer,int64,Pet ID,false,false,false,false,false,,198772,,,,false,false,,,,,,,,"components.schemas.Order.properties.petId"
Order,quantity,integer,int32,Order quantity,false,false,false,false,false,,7,,1,100,false,false,,,,,,,,"components.schemas.Order.properties.quantity"
Order,shipDate,string,date-time,Ship date,false,false,false,false,false,,2024-01-15T10:00:00Z,,,,,,,,,,,,,,,"components.schemas.Order.properties.shipDate"
Order,status,string,,Order status,false,false,false,false,false,placed,placed,"placed;approved;delivered",,,,,,,,,,,,,,"components.schemas.Order.properties.status"
Order,complete,boolean,,Complete flag,false,false,false,false,false,false,false,,,,,,,,,,,,,,,"components.schemas.Order.properties.complete"
User,id,integer,int64,User ID,false,false,false,true,false,,1,,,,false,false,,,,,,,,"components.schemas.User.properties.id"
User,username,string,,Username,true,false,false,false,false,,johndoe,,,,,,,,4,50,^[a-zA-Z0-9_]+$,,,,,"components.schemas.User.properties.username"
User,email,string,email,Email address,true,false,false,false,false,,john@example.com,,,,,,,,,,,,,,,"components.schemas.User.properties.email"
User,password,string,password,Password,true,false,false,false,true,,,,,,,,,,8,128,,,,,,"components.schemas.User.properties.password"
User,firstName,string,,First name,false,false,false,false,false,,John,,,,,,,,1,100,,,,,,"components.schemas.User.properties.firstName"
User,lastName,string,,Last name,false,false,false,false,false,,Doe,,,,,,,,1,100,,,,,,"components.schemas.User.properties.lastName"
User,phone,string,,Phone number,false,false,false,false,false,,+1-555-1234,,,,,,,,,,,,,,,"components.schemas.User.properties.phone"
User,userStatus,integer,int32,User status,false,false,false,false,false,,1,,0,10,false,false,,,,,,,,"components.schemas.User.properties.userStatus"
Error,code,integer,int32,Error code,true,false,false,false,false,,400,,,,false,false,,,,,,,,"components.schemas.Error.properties.code"
Error,message,string,,Error message,true,false,false,false,false,,Bad Request,,,,,,,,,,,,,,,"components.schemas.Error.properties.message"
Error,details,array,,Error details,false,false,false,false,false,,,,,,,,,,,,,,,string,"components.schemas.Error.properties.details"
ApiResponse,code,integer,int32,Response code,false,false,false,false,false,,200,,,,false,false,,,,,,,,"components.schemas.ApiResponse.properties.code"
ApiResponse,type,string,,Response type,false,false,false,false,false,,success,,,,,,,,,,,,,,,"components.schemas.ApiResponse.properties.type"
ApiResponse,message,string,,Response message,false,false,false,false,false,,Operation successful,,,,,,,,,,,,,,,"components.schemas.ApiResponse.properties.message"
